source target weight
"oncoming bus" "person running" 1
"oncoming fist" "artist palette" 1
"oncoming fist" "bow and arrow" 1
"oncoming fist" camera 2
"oncoming fist" "face with raised eyebrow" 1
"oncoming fist" "face with steam from nose" 1
"oncoming fist" "folded hands" 1
"oncoming fist" jack-o-lantern 1
"oncoming fist" "party popper" 1
"oncoming fist" "partying face" 1
"oncoming fist" "pensive face" 1
"oncoming fist" "relieved face" 1
"oncoming fist" "revolving hearts" 1
"oncoming fist" shark 1
"oncoming fist" "sign of the horns" 1
"oncoming fist" "smiling face with sunglasses" 1
"oncoming fist" "sweat droplets" 1
"oncoming fist" "thumbs up" 1
"oncoming fist" "two hearts" 2
"oncoming fist" "woozy face" 1
"oncoming fist dark skin tone" "oncoming fist medium skin tone" 1
"oncoming fist dark skin tone" "spade suit" 1
"oncoming fist light skin tone" "green heart" 1
"oncoming fist light skin tone" "pensive face" 1
"oncoming fist medium-dark skin tone" collision 1
"oncoming fist medium-dark skin tone" "oncoming fist dark skin tone" 1
"oncoming fist medium-light skin tone" "clapping hands light skin tone" 1
"oncoming fist medium-light skin tone" "hundred points" 1
"oncoming fist medium-light skin tone" joystick 1
"oncoming fist medium skin tone" "clapping hands medium-dark skin tone" 2
"oncoming fist medium skin tone" "hugging face" 1
"oncoming police car" "evergreen tree" 3
"oncoming police car" "police car light" 2
"oncoming police car" sparkles 1
"oncoming police car" "vertical traffic light" 1
"oncoming taxi" "person biking" 1
"open book" "backhand index pointing right" 1
"open book" books 3
"open book" "flexed biceps medium-light skin tone" 2
"open book" headphone 1
"open book" link 1
"open book" newspaper 1
"open book" sparkles 2
"open book" "woman in lotus position medium skin tone" 1
"open book" "writing hand medium skin tone" 2
"open file folder" "file folder" 1
"open hands" "musical notes" 1
"open hands light skin tone" "hot face" 1
"open mailbox with raised flag" "envelope with arrow" 1
"open mailbox with raised flag" "love letter" 1
"open mailbox with raised flag" package 1
"open mailbox with raised flag" prohibited 1
"open mailbox with raised flag" sparkles 1
"optical disk" taco 1
"orange book" "closed book" 1
"orange heart" "american football" 1
"orange heart" "artist palette" 1
"orange heart" baby 1
"orange heart" "backhand index pointing down" 1
"orange heart" "birthday cake" 1
"orange heart" "black heart" 9
"orange heart" "blue heart" 6
"orange heart" bomb 2
"orange heart" "cherry blossom" 4
"orange heart" collision 1
"orange heart" cookie 1
"orange heart" dragon 1
"orange heart" "folded hands" 2
"orange heart" "fox face" 1
"orange heart" ghost 1
"orange heart" "glowing star" 1
"orange heart" "green heart" 16
"orange heart" "grinning cat face with smiling eyes" 1
"orange heart" "heart suit" 2
"orange heart" "heart with arrow" 1
"orange heart" herb 1
"orange heart" "hundred points" 1
"orange heart" "leaf fluttering in wind" 1
"orange heart" "maple leaf" 1
"orange heart" "musical notes" 1
"orange heart" "oncoming fist" 1
"orange heart" pancakes 2
"orange heart" "purple heart" 3
"orange heart" "red heart" 14
"orange heart" shortcake 1
"orange heart" "smiling face" 2
"orange heart" "smiling face with heart-eyes" 1
"orange heart" "snowman without snow" 1
"orange heart" sparkles 5
"orange heart" "sparkling heart" 3
"orange heart" "sun with face" 1
"orange heart" sunflower 1
"orange heart" "two hearts" 6
"orange heart" "yellow heart" 27
"orthodox cross" "place of worship" 1
"orthodox cross" "prayer beads" 1
otter giraffe 1
owl "crescent moon" 1
owl eyes 1
owl "family man woman girl boy" 1
owl four-thirty 2
owl "paw prints" 1
owl "smiling face with heart-eyes" 1
owl sparkles 1
owl whale 1
ox eagle 1
ox "pile of poo" 1
"p button" "a button" 1
"p button" "regional indicator symbol letter h" 3
"p button" "writing hand medium skin tone" 1
package "cat face" 1
package locked 1
package "question mark" 1
package "racing car" 1
package rainbow 1
package "recycling symbol" 1
package "red heart" 1
"page facing up" paintbrush 1
"page with curl" "level slider" 1
"page with curl" scroll 3
pager "green heart" 1
paintbrush amphora 1
paintbrush "artist palette" 25
paintbrush "beaming face with smiling eyes" 1
paintbrush "black circle" 1
paintbrush "black heart" 4
paintbrush books 1
paintbrush bowling 1
paintbrush "camera with flash" 1
paintbrush carrot 1
paintbrush crayon 4
paintbrush "dollar banknote" 1
paintbrush doughnut 1
paintbrush "evergreen tree" 1
paintbrush "expressionless face" 1
paintbrush fire 1
paintbrush foggy 1
paintbrush "framed picture" 2
paintbrush "game die" 1
paintbrush gear 1
paintbrush "glowing star" 1
paintbrush "grinning face with smiling eyes" 1
paintbrush "heart suit" 1
paintbrush "love letter" 1
paintbrush "maple leaf" 1
paintbrush "musical notes" 2
paintbrush pen 1
paintbrush pencil 7
paintbrush "raised fist" 1
paintbrush "red heart" 1
paintbrush "regional indicator symbol letter u" 5
paintbrush "right arrow curving down" 1
paintbrush rose 2
paintbrush shield 1
paintbrush "smiling face with 3 hearts" 3
paintbrush "smiling face with smiling eyes" 1
paintbrush "smiling face with sunglasses" 1
paintbrush snowflake 1
paintbrush sparkler 1
paintbrush "studio microphone" 1
paintbrush "thinking face" 1
paintbrush tongue 2
paintbrush "two hearts" 2
paintbrush "winking face" 1
paintbrush "woman in lotus position light skin tone" 1
"palm tree" "artist palette" 1
"palm tree" camel 1
"palm tree" cinema 2
"palm tree" "clapping hands" 2
"palm tree" dove 2
"palm tree" flamingo 1
"palm tree" headphone 1
"palm tree" herb 2
"palm tree" hibiscus 5
"palm tree" kangaroo 1
"palm tree" lollipop 1
"palm tree" "mobile phone" 2
"palm tree" "no one under eighteen" 1
"palm tree" "oncoming police car" 3
"palm tree" peach 1
"palm tree" "regional indicator symbol letter u" 2
"palm tree" sun 1
"palm tree" "tropical drink" 1
"palm tree" "two men holding hands" 3
"palm tree" "woman artist medium-dark skin tone" 2
"palms up together medium-dark skin tone" "regional indicator symbol letter i" 1
"palms up together medium-light skin tone" "revolving hearts" 1
"palms up together medium skin tone" "folded hands medium skin tone" 1
pancakes "framed picture" 2
pancakes sparkles 2
"panda face" "dog face" 2
"panda face" "heart decoration" 1
"panda face" "red heart" 2
"panda face" "two hearts" 1
parrot owl 1
parrot seedling 1
parrot "tanabata tree" 1
parrot "up arrow" 1
"part alternation mark" "beating heart" 2
"part alternation mark" "high voltage" 1
"party popper" "admission tickets" 1
"party popper" "artist palette" 5
"party popper" "backhand index pointing right" 1
"party popper" "backhand index pointing right medium-light skin tone" 1
"party popper" balloon 5
"party popper" bed 1
"party popper" "birthday cake" 5
"party popper" "black heart" 1
"party popper" "blue heart" 2
"party popper" "bottle with popping cork" 6
"party popper" "bust in silhouette" 1
"party popper" "christmas tree" 2
"party popper" "circled m" 1
"party popper" "clapping hands" 1
"party popper" "clinking beer mugs" 1
"party popper" "clinking glasses" 1
"party popper" "clockwise vertical arrows" 1
"party popper" collision 28
"party popper" "confetti ball" 12
"party popper" "crossed fingers medium-dark skin tone" 1
"party popper" dizzy 3
"party popper" eyes 3
"party popper" "face with tears of joy" 2
"party popper" fire 2
"party popper" "folded hands" 2
"party popper" "gem stone" 1
"party popper" "grinning face with smiling eyes" 1
"party popper" "grinning squinting face" 1
"party popper" "growing heart" 2
"party popper" hamburger 1
"party popper" "high voltage" 2
"party popper" "hot face" 1
"party popper" "ice cream" 1
"party popper" loudspeaker 1
"party popper" "love-you gesture" 1
"party popper" "man artist light skin tone" 1
"party popper" "maple leaf" 1
"party popper" "ok button" 1
"party popper" "orange heart" 3
"party popper" paintbrush 2
"party popper" "partying face" 6
"party popper" peach 1
"party popper" pizza 1
"party popper" "purple heart" 3
"party popper" "red heart" 3
"party popper" "regional indicator symbol letter v" 2
"party popper" "repeat button" 1
"party popper" "revolving hearts" 1
"party popper" "right arrow" 2
"party popper" "smiling face with 3 hearts" 1
"party popper" "smiling face with heart-eyes" 3
"party popper" "smiling face with horns" 1
"party popper" "smiling face with smiling eyes" 1
"party popper" sparkler 2
"party popper" sparkles 14
"party popper" "sparkling heart" 3
"party popper" "speaking head" 1
"party popper" "tired face" 1
"party popper" "two hearts" 3
"party popper" "victory hand" 1
"party popper" "white medium star" 2
"party popper" "wolf face" 1
"party popper" "women with bunny ears" 1
"party popper" "wrapped gift" 1
"party popper" "yellow heart" 2
"party popper" "zany face" 3
"partying face" "artist palette" 1
"partying face" blossom 1
"partying face" "blue heart" 1
"partying face" "bottle with popping cork" 1
"partying face" "camera with flash" 1
"partying face" candy 1
"partying face" "clapping hands" 2
"partying face" "clapping hands light skin tone" 3
"partying face" "confetti ball" 4
"partying face" dizzy 1
"partying face" "exploding head" 1
"partying face" "face blowing a kiss" 1
"partying face" "face with tears of joy" 1
"partying face" "flushed face" 1
"partying face" "folded hands" 1
"partying face" "folded hands light skin tone" 1
"partying face" "fox face" 1
"partying face" "full moon" 1
"partying face" "globe showing americas" 1
"partying face" "glowing star" 2
"partying face" "green heart" 1
"partying face" "grinning face with smiling eyes" 1
"partying face" "grinning face with sweat" 1
"partying face" "grinning squinting face" 1
"partying face" guitar 1
"partying face" headphone 1
"partying face" "heart with ribbon" 1
"partying face" "kiss mark" 2
"partying face" "loudly crying face" 3
"partying face" "orange heart" 2
"partying face" "party popper" 10
"partying face" "persevering face" 1
"partying face" "pleading face" 1
"partying face" "purple heart" 1
"partying face" rainbow 1
"partying face" "raising hands" 1
"partying face" "red heart" 3
"partying face" "regional indicator symbol letter e" 1
"partying face" "regional indicator symbol letter u" 1
"partying face" "repeat button" 1
"partying face" "revolving hearts" 2
"partying face" "slightly frowning face" 1
"partying face" "smiling face with smiling eyes" 2
"partying face" sparkles 4
"partying face" "sparkling heart" 2
"partying face" "squinting face with tongue" 1
"partying face" star-struck 2
"partying face" "two hearts" 1
"partying face" "wrapped gift" 1
"partying face" "zany face" 2
"pause button" "stop button" 2
"paw prints" "bear face" 1
"paw prints" "black heart" 1
"paw prints" blossom 1
"paw prints" "blue heart" 1
"paw prints" "confounded face" 1
"paw prints" dog 1
"paw prints" "evergreen tree" 1
"paw prints" fire 1
"paw prints" "fox face" 2
"paw prints" "globe showing americas" 1
"paw prints" "heart suit" 1
"paw prints" "high voltage" 2
"paw prints" koala 1
"paw prints" "maple leaf" 1
"paw prints" "nerd face" 1
"paw prints" "orange heart" 1
"paw prints" paintbrush 1
"paw prints" "purple heart" 1
"paw prints" "red heart" 1
"paw prints" "smiling cat face with heart-eyes" 1
"paw prints" sparkles 2
"paw prints" "sparkling heart" 1
"paw prints" "thumbs up" 1
"paw prints" "two hearts" 1
"paw prints" "white medium star" 1
"paw prints" "wolf face" 2
"peace symbol" "artist palette" 1
"peace symbol" blossom 1
"peace symbol" "grinning cat face" 1
"peace symbol" "heart suit" 2
"peace symbol" "moon cake" 2
"peace symbol" "orange heart" 1
"peace symbol" "purple heart" 1
"peace symbol" "red heart" 2
"peace symbol" "regional indicator symbol letter u" 1
"peace symbol" "smiling face" 1
"peace symbol" "victory hand" 1
"peace symbol" "victory hand light skin tone" 1
"peace symbol" "white medium star" 1
peach "artist palette" 1
peach "black small square" 1
peach "blond-haired man" 1
peach "blue heart" 1
peach "clockwise vertical arrows" 1
peach coconut 2
peach "drooling face" 1
peach "face blowing a kiss" 2
peach "face savoring food" 3
peach "face with monocle" 1
peach "fallen leaf" 1
peach fire 2
peach "folded hands" 1
peach gemini 1
peach "glowing star" 1
peach "green heart" 1
peach "growing heart" 1
peach "heart suit" 2
peach herb 1
peach "hundred points" 1
peach "orange heart" 1
peach "red heart" 2
peach ribbon 2
peach "smiling face with 3 hearts" 1
peach "smiling face with heart-eyes" 5
peach "smiling face with horns" 1
peach "smirking face" 1
peach sparkles 4
peach "sparkling heart" 1
peach strawberry 2
peach "sweat droplets" 3
peach "thinking face" 1
peach "two hearts" 14
peach "waving hand medium skin tone" 1
peach "weary face" 1
peach "white medium star" 1
peach "zany face" 1
peacock "green heart" 1
peacock mushroom 1
peacock "smiling face with smiling eyes" 1
peanuts tractor 1
pear "backhand index pointing right" 1
pear "red apple" 1
pen "artist palette" 1
pen "blue book" 1
pen "cherry blossom" 2
pen "framed picture" 1
pen paintbrush 1
pen pencil 2
pen "red heart" 3
pen "thumbs up" 1
pen "woman artist" 1
pencil "artist palette" 17
pencil "backhand index pointing down" 1
pencil "backhand index pointing right" 1
pencil "black heart" 1
pencil "black nib" 2
pencil butterfly 1
pencil "clapping hands" 1
pencil "clinking beer mugs" 1
pencil crayon 2
pencil "crystal ball" 1
pencil "down arrow" 1
pencil "face with symbols on mouth" 1
pencil "flexed biceps" 2
pencil "folded hands" 1
pencil "folded hands medium-dark skin tone" 1
pencil "fountain pen" 3
pencil "framed picture" 1
pencil "grimacing face" 2
pencil "heart suit" 2
pencil "heavy heart exclamation" 1
pencil hibiscus 1
pencil "hundred points" 1
pencil "index pointing up" 1
pencil joker 1
pencil ledger 1
pencil "light bulb" 1
pencil link 2
pencil "loudly crying face" 1
pencil "maple leaf" 1
pencil "money bag" 1
pencil "musical note" 1
pencil "ok hand" 2
pencil owl 2
pencil paintbrush 4
pencil "pensive face" 1
pencil "pleading face" 3
pencil "recycling symbol" 1
pencil "red heart" 1
pencil "relieved face" 1
pencil "smiling face with 3 hearts" 1
pencil sparkles 4
pencil "sparkling heart" 1
pencil squid 1
pencil "two hearts" 2
pencil "wavy dash" 1
pencil "woman farmer" 3
pencil "writing hand" 1
pencil "yellow heart" 1
pencil "zany face" 1
penguin ear 1
"pensive face" "backhand index pointing right" 1
"pensive face" "backhand index pointing right light skin tone" 1
"pensive face" "backhand index pointing up light skin tone" 1
"pensive face" "beating heart" 1
"pensive face" "blue heart" 2
"pensive face" "broken heart" 1
"pensive face" "call me hand" 4
"pensive face" "call me hand light skin tone" 1
"pensive face" "call me hand medium-light skin tone" 1
"pensive face" "call me hand medium skin tone" 1
"pensive face" "clapping hands" 1
"pensive face" "clown face" 1
"pensive face" "crying face" 1
"pensive face" "disappointed face" 1
"pensive face" "double exclamation mark" 1
"pensive face" "face blowing a kiss" 1
"pensive face" "face with hand over mouth" 1
"pensive face" "face with tears of joy" 3
"pensive face" "face with tongue" 1
"pensive face" "flushed face" 4
"pensive face" "folded hands" 5
"pensive face" "folded hands light skin tone" 1
"pensive face" "folded hands medium-dark skin tone" 1
"pensive face" "globe showing americas" 1
"pensive face" "growing heart" 1
"pensive face" "hand with fingers splayed" 1
"pensive face" handshake 2
"pensive face" "heart suit" 1
"pensive face" "heart with arrow" 2
"pensive face" "high voltage" 1
"pensive face" "hugging face" 2
"pensive face" "loudly crying face" 5
"pensive face" "love-you gesture" 2
"pensive face" "love-you gesture medium-light skin tone" 1
"pensive face" "nauseated face" 1
"pensive face" "ok hand" 6
"pensive face" "ok hand medium skin tone" 1
"pensive face" "oncoming fist" 7
"pensive face" "oncoming fist medium skin tone" 1
"pensive face" "orange heart" 1
"pensive face" "party popper" 1
"pensive face" "pleading face" 7
"pensive face" "purple heart" 3
"pensive face" rainbow 1
"pensive face" "raised back of hand" 1
"pensive face" "raised fist" 14
"pensive face" "raised fist light skin tone" 4
"pensive face" "raised fist medium-light skin tone" 2
"pensive face" "raised hand" 1
"pensive face" "raised hand light skin tone" 1
"pensive face" "red heart" 3
"pensive face" "sad but relieved face" 1
"pensive face" "sign of the horns" 1
"pensive face" "sign of the horns light skin tone" 1
"pensive face" "slightly frowning face" 1
"pensive face" "smiling face with 3 hearts" 1
"pensive face" sparkles 1
"pensive face" "sparkling heart" 4
"pensive face" star-struck 1
"pensive face" "sweat droplets" 1
"pensive face" "thumbs down" 1
"pensive face" "two hearts" 7
"pensive face" "victory hand" 6
"pensive face" "victory hand light skin tone" 1
"pensive face" "victory hand medium-light skin tone" 2
"pensive face" "vulcan salute" 2
"pensive face" "waving hand" 1
"pensive face" "weary face" 1
"pensive face" "winking face" 1
"pensive face" "yellow heart" 1
"performing arts" anchor 1
"performing arts" "artist palette" 3
"performing arts" "ballet shoes" 1
"performing arts" books 1
"performing arts" brain 1
"performing arts" "circus tent" 1
"performing arts" "clinking glasses" 1
"performing arts" guitar 2
"performing arts" "hundred points" 1
"performing arts" microphone 4
"performing arts" "musical notes" 1
"performing arts" "musical score" 1
"performing arts" "red heart" 1
"performing arts" "robot face" 1
"performing arts" "spade suit" 1
"performing arts" sparkles 1
"performing arts" t-shirt 1
"performing arts" "thumbs up" 1
"performing arts" "woman artist" 1
"performing arts" "woman dancing" 1
"performing arts" "writing hand medium skin tone" 1
"persevering face" candy 1
"persevering face" "face with tears of joy" 1
"persevering face" "folded hands" 1
"persevering face" "loudly crying face" 2
"persevering face" "ok hand" 1
"persevering face" "pensive face" 2
"persevering face" "smirking face" 1
"person biking" "deciduous tree" 1
"person bowing" "heart with ribbon" 1
"person bowing" "hugging face" 1
"person bowing" "loudly crying face" 1
"person bowing light skin tone" ant 1
"person fencing" croissant 1
"person fencing" crown 1
"person gesturing ok" "face with tears of joy" 1
"person gesturing ok light skin tone" "u200d:male sign" 3
"person golfing" "flag in hole" 2
"person kneeling" "medium skin tone" 1
"person raising hand" "man raising hand" 1
"person raising hand" "thinking face" 1
"person raising hand" "waving hand" 1
"person running" "beating heart" 1
"person running" fire 2
"person running" "palm tree" 3
"person running" "video game" 1
"person running medium-dark skin tone" "woman running medium-dark skin tone" 1
"person shrugging" "face with rolling eyes" 1
"person shrugging" "worried face" 1
"person surfing" "u200d:male sign" 1
"person surfing medium skin tone" "camera with flash" 1
"person tipping hand" "glowing star" 1
"person tipping hand" "two hearts" 1
"person walking" "clutch bag" 1
"person walking" "oncoming bus" 1
"person wearing turban" boar 1
"petri dish" microbe 2
pick "thumbs up" 1
pie "face with tears of joy" 1
pie "fried shrimp" 1
pie "glass of milk" 1
pig "hammer and pick" 1
pig "white medium star" 1
"pig face" "black heart" 1
"pig face" "cow face" 1
"pig face" "crossed swords" 1
"pig face" "pig nose" 2
"pig face" "smiling face with horns" 1
"pig face" "unicorn face" 1
"pig face" "winking face with tongue" 1
"pig nose" pig 2
"pile of poo" "face screaming in fear" 1
"pile of poo" "face with tears of joy" 1
"pile of poo" "mouse face" 1
"pile of poo" paintbrush 1
"pile of poo" "pouting face" 1
"pile of poo" "regional indicator symbol letter c" 1
"pile of poo" scissors 1
"pile of poo" skull 1
"pile of poo" spoon 1
"pile of poo" "thumbs up light skin tone" 1
"pile of poo" "winking face with tongue" 1
pill "mantelpiece clock" 1
pill "weary cat face" 1
"pine decoration" "movie camera" 1
pineapple "water wave" 1
"ping pong" fire 1
pisces "birthday cake" 2
pisces capricorn 1
pisces "female sign" 1
pisces "smiling face" 1
pistol "crossed swords" 1
pistol firecracker 1
pistol "heart with arrow" 1
pistol memo 1
pistol sparkles 1
pistol "sweat droplets" 1
pistol "waving hand medium-light skin tone" 1
pizza "artist palette" 1
pizza bat 1
pizza "blue heart" 2
pizza copyright 1
pizza crayon 1
pizza "fork and knife with plate" 1
pizza "framed picture" 1
pizza "french fries" 1
pizza hamburger 1
pizza package 1
pizza pie 1
pizza "soft ice cream" 1
pizza videocassette 3
"place of worship" "folded hands medium-light skin tone" 1
"place of worship" "latin cross" 1
"play button" "backhand index pointing down" 1
"play button" "face screaming in fear" 1
"play button" "red heart" 1
"play button" "regional indicator symbol letter u" 1
"play button" "reverse button" 1
"play button" "right arrow" 1
"pleading face" "anxious face with sweat" 1
"pleading face" "backhand index pointing right" 3
"pleading face" "backhand index pointing right light skin tone" 1
"pleading face" bat 1
"pleading face" "beating heart" 20
"pleading face" "black heart" 9
"pleading face" "blue heart" 9
"pleading face" "bow and arrow" 1
"pleading face" "broken heart" 1
"pleading face" butterfly 1
"pleading face" "camera with flash" 3
"pleading face" "cherry blossom" 5
"pleading face" "clapping hands light skin tone" 1
"pleading face" "clapping hands medium-dark skin tone" 1
"pleading face" cloud 2
"pleading face" crab 1
"pleading face" "crossed fingers" 1
"pleading face" "crossed fingers medium-dark skin tone" 1
"pleading face" "crying face" 4
"pleading face" "crystal ball" 1
"pleading face" "exclamation mark" 1
"pleading face" "face blowing a kiss" 1
"pleading face" "face screaming in fear" 1
"pleading face" "face with hand over mouth" 3
"pleading face" "face with head-bandage" 1
"pleading face" "face with steam from nose" 1
"pleading face" "face with tears of joy" 3
"pleading face" fire 2
"pleading face" "flexed biceps medium skin tone" 1
"pleading face" "flushed face" 7
"pleading face" "folded hands" 7
"pleading face" "folded hands light skin tone" 2
"pleading face" "folded hands medium-light skin tone" 1
"pleading face" "frowning face" 3
"pleading face" "gem stone" 1
"pleading face" "glowing star" 1
"pleading face" "green heart" 2
"pleading face" "grinning face with sweat" 1
"pleading face" "grinning squinting face" 1
"pleading face" "growing heart" 19
"pleading face" "heart suit" 17
"pleading face" "heart with arrow" 6
"pleading face" "heart with ribbon" 3
"pleading face" "heavy heart exclamation" 3
"pleading face" "hugging face" 2
"pleading face" "kitchen knife" 2
"pleading face" "loudly crying face" 40
"pleading face" loudspeaker 1
"pleading face" "love-you gesture" 3
"pleading face" "love-you gesture medium-light skin tone" 1
"pleading face" "nauseated face" 1
"pleading face" "ok hand" 1
"pleading face" "orange heart" 5
"pleading face" "palms up together" 2
"pleading face" "palms up together light skin tone" 1
"pleading face" "pensive face" 4
"pleading face" "purple heart" 38
"pleading face" "rabbit face" 1
"pleading face" "raised back of hand" 1
"pleading face" "raised back of hand medium skin tone" 3
"pleading face" "raised fist medium-dark skin tone" 1
"pleading face" "red heart" 66
"pleading face" "relieved face" 1
"pleading face" "revolving hearts" 29
"pleading face" "sad but relieved face" 1
"pleading face" "see-no-evil monkey" 1
"pleading face" seedling 1
"pleading face" "sleeping face" 1
"pleading face" "smiling cat face with heart-eyes" 1
"pleading face" "smiling face" 2
"pleading face" "smiling face with 3 hearts" 20
"pleading face" "smiling face with heart-eyes" 6
"pleading face" "sneezing face" 1
"pleading face" snowflake 1
"pleading face" sparkles 14
"pleading face" "sparkling heart" 46
"pleading face" "speak-no-evil monkey" 1
"pleading face" "thinking face" 1
"pleading face" "thumbs up medium-light skin tone" 1
"pleading face" tulip 1
"pleading face" "two hearts" 63
"pleading face" umbrella 1
"pleading face" "upside-down face" 1
"pleading face" "victory hand" 3
"pleading face" "victory hand light skin tone" 1
"pleading face" "weary face" 1
"pleading face" "white heart" 2
"pleading face" "wilted flower" 1
"pleading face" "woman facepalming light skin tone" 1
"pleading face" "woozy face" 2
"pleading face" "yellow heart" 6
"police car" "desktop computer" 2
"police car" "mobile phone with arrow" 1
"police car light" "american football" 1
"police car light" "artist palette" 4
"police car light" briefcase 2
"police car light" "derelict house" 1
"police car light" "direct hit" 1
"police car light" "double exclamation mark" 2
"police car light" "down arrow" 4
"police car light" eyes 1
"police car light" "face with tears of joy" 1
"police car light" fire 3
"police car light" "folded hands medium skin tone" 2
"police car light" "framed picture" 2
"police car light" "gem stone" 2
"police car light" "man running" 2
"police car light" "musical score" 1
"police car light" "oncoming police car" 6
"police car light" "party popper" 2
"police car light" rocket 2
"police car light" "round pushpin" 1
"police car light" "smiling face with heart-eyes" 2
"police car light" sparkles 5
"police car light" star-struck 1
"police car light" television 1
"police car light" trophy 1
"police car light" umbrella 1
"police car light" "vulcan salute medium-dark skin tone" 1
"police car light" warning 1
"police car light" "white medium star" 1
"pool 8 ball" printer 2
popcorn "backhand index pointing right" 1
popcorn sparkles 2
"post office" hospital 3
"post office" "japanese post office" 1
"postal horn" snowflake 1
postbox balloon 1
"pot of food" leopard 1
"poultry leg" "artist palette" 1
"poultry leg" "christmas tree" 1
"poultry leg" cooking 1
"poultry leg" "french fries" 1
"poultry leg" "thumbs up light skin tone" 1
"poultry leg" "unicorn face" 1
"pouting cat face" "tired face" 1
"pouting cat face" "woman shrugging" 1
"pouting cat face" "woman student" 1
"pouting face" "confused face" 1
"pouting face" "crying face" 2
"pouting face" "dashing away" 1
"pouting face" "face vomiting" 1
"pouting face" "face with steam from nose" 1
"pouting face" "face with symbols on mouth" 4
"pouting face" "folded hands" 1
"pouting face" "heart with ribbon" 1
"pouting face" "kitchen knife" 1
"pouting face" "money-mouth face" 1
"pouting face" "pleading face" 2
"pouting face" prohibited 1
"pouting face" "smiling face with 3 hearts" 1
"pouting face" sparkles 1
"pouting face" "sparkling heart" 1
"pouting face" "two hearts" 1
"pregnant woman" "baby angel" 1
"pregnant woman medium skin tone" "beaming face with smiling eyes" 2
pretzel "cross mark" 1
pretzel doughnut 1
pretzel "heavy plus sign" 1
pretzel "right arrow curving left" 1
princess "hourglass not done" 2
princess "skull and crossbones" 1
princess "smiling face with heart-eyes" 1
princess sparkles 1
"princess dark skin tone" fire 1
"princess light skin tone" "spade suit" 1
"princess medium-dark skin tone" "musical notes" 1
printer "blue heart" 1
printer sparkles 2
prohibited "artist palette" 1
prohibited "billed cap" 5
prohibited "black heart" 1
prohibited brain 1
prohibited "cross mark" 1
prohibited "light bulb" 1
prohibited "police car light" 2
prohibited "thinking face" 1
prohibited "two hearts" 1
prohibited warning 1
prohibited "white heavy check mark" 1
"purple heart" amphora 1
"purple heart" "artist palette" 7
"purple heart" "baby dark skin tone" 1
"purple heart" "backhand index pointing left" 1
"purple heart" basketball 1
"purple heart" bat 2
"purple heart" "beating heart" 7
"purple heart" "black heart" 35
"purple heart" "black small square" 1
"purple heart" "blue heart" 54
"purple heart" bouquet 1
"purple heart" "broken heart" 1
"purple heart" butterfly 3
"purple heart" "cat face" 1
"purple heart" "cherry blossom" 4
"purple heart" "clapper board" 1
"purple heart" "clapping hands light skin tone" 4
"purple heart" "couple with heart woman woman" 1
"purple heart" "crossed swords" 1
"purple heart" crown 3
"purple heart" "crying face" 1
"purple heart" "crystal ball" 1
"purple heart" dagger 1
"purple heart" dizzy 1
"purple heart" dove 1
"purple heart" "down arrow" 1
"purple heart" dragon 3
"purple heart" eggplant 1
"purple heart" eyes 1
"purple heart" "face blowing a kiss" 1
"purple heart" "face screaming in fear" 1
"purple heart" "face with tears of joy" 2
"purple heart" fire 2
"purple heart" "first quarter moon face" 1
"purple heart" "flushed face" 1
"purple heart" "folded hands" 2
"purple heart" "folded hands medium skin tone" 1
"purple heart" "fox face" 1
"purple heart" "globe showing americas" 1
"purple heart" "globe showing europe-africa" 1
"purple heart" "glowing star" 1
"purple heart" grapes 6
"purple heart" "green apple" 1
"purple heart" "green heart" 11
"purple heart" "grinning face with smiling eyes" 1
"purple heart" "grinning face with sweat" 2
"purple heart" "growing heart" 6
"purple heart" "hammer and pick" 1
"purple heart" "heart suit" 7
"purple heart" "heart with arrow" 2
"purple heart" "heart with ribbon" 1
"purple heart" "heavy heart exclamation" 1
"purple heart" herb 2
"purple heart" hibiscus 1
"purple heart" "high voltage" 2
"purple heart" "horse face" 1
"purple heart" "house with garden" 1
"purple heart" "hugging face" 4
"purple heart" jack-o-lantern 1
"purple heart" joker 1
"purple heart" "kissing face with closed eyes" 1
"purple heart" "leaf fluttering in wind" 2
"purple heart" link 3
"purple heart" "loudly crying face" 4
"purple heart" "man raising hand dark skin tone" 1
"purple heart" "mantelpiece clock" 1
"purple heart" mermaid 1
"purple heart" mouse 1
"purple heart" "musical note" 1
"purple heart" "musical notes" 1
"purple heart" "ok hand" 1
"purple heart" "ok hand medium-light skin tone" 1
"purple heart" "orange heart" 9
"purple heart" paintbrush 1
"purple heart" paperclip 2
"purple heart" "party popper" 1
"purple heart" "partying face" 3
"purple heart" "paw prints" 1
"purple heart" "pleading face" 8
"purple heart" "rabbit face" 1
"purple heart" "racing car" 1
"purple heart" rainbow 4
"purple heart" "raising hands" 1
"purple heart" "raising hands light skin tone" 1
"purple heart" "raising hands medium-light skin tone" 2
"purple heart" "raising hands medium skin tone" 1
"purple heart" "red heart" 20
"purple heart" "regional indicator symbol letter f" 1
"purple heart" "regional indicator symbol letter i" 2
"purple heart" "relieved face" 2
"purple heart" "revolving hearts" 2
"purple heart" "right arrow" 2
"purple heart" ring 4
"purple heart" "rolling on the floor laughing" 2
"purple heart" rose 2
"purple heart" shield 1
"purple heart" "small blue diamond" 1
"purple heart" "smiling face with 3 hearts" 3
