source target weight
"backhand index pointing right" "smiling face with sunglasses" 3
"backhand index pointing right" "speaker high volume" 1
"backhand index pointing right" "thumbs up" 7
"backhand index pointing right" trophy 1
"backhand index pointing right" "winking face" 1
"backhand index pointing right" "wrapped gift" 1
"backhand index pointing right dark skin tone" collision 1
"backhand index pointing right dark skin tone" "ok hand dark skin tone" 1
"backhand index pointing right light skin tone" "backhand index pointing left light skin tone" 8
"backhand index pointing right light skin tone" "moon cake" 1
"backhand index pointing right medium-dark skin tone" "backhand index pointing left medium-dark skin tone" 1
"backhand index pointing right medium-light skin tone" "backhand index pointing left medium-light skin tone" 2
"backhand index pointing up" "yellow heart" 1
"backhand index pointing up light skin tone" "flexed biceps light skin tone" 1
bacon bat 1
bacon "face with tears of joy" 1
bacon "flexed biceps" 1
bacon turkey 1
badger "repeat button" 1
badger "two hearts" 1
"balance scale" "regional indicator symbol letter u" 2
"balance scale" sparkles 1
"ballet shoes" microphone 1
"ballet shoes" "smiling face with heart-eyes" 1
balloon "alarm clock" 1
balloon "artist palette" 1
balloon "backhand index pointing right light skin tone" 1
balloon "birthday cake" 1
balloon bouquet 1
balloon "carousel horse" 1
balloon "clinking glasses" 2
balloon cupcake 1
balloon dog 1
balloon "framed picture" 1
balloon "kiss mark" 1
balloon "leaf fluttering in wind" 1
balloon lizard 1
balloon "movie camera" 1
balloon "party popper" 4
balloon "partying face" 2
balloon "rainbow flag" 1
balloon sparkler 1
balloon sparkles 1
balloon "unicorn face" 2
balloon "wrapped gift" 2
balloon "zany face" 1
"ballot box with ballot" "glowing star" 1
"ballot box with ballot" "heavy check mark" 3
"ballot box with ballot" "money bag" 1
"ballot box with ballot" "soccer ball" 1
"ballot box with check" "glowing star" 1
"ballot box with check" "man health worker" 1
banana blossom 2
banana bread 2
banana "cat face" 1
banana "fox face" 1
banana grapes 1
banana "heart suit" 1
banana mango 2
banana sparkles 1
banana "yellow heart" 1
banjo drum 1
bank "convenience store" 3
"bar chart" "chart decreasing" 1
"barber pole" "black small square" 1
"barber pole" "folded hands medium-light skin tone" 1
"barber pole" "grinning face with big eyes" 1
baseball "american football" 1
baseball "red heart" 1
basketball baseball 1
basketball "clapper board" 1
basketball "down arrow" 3
basketball "man tipping hand medium-dark skin tone" 1
basketball "musical notes" 1
basketball "rabbit face" 1
basketball "thumbs up medium-light skin tone" 1
bat "artist palette" 1
bat "beating heart" 1
